# delta = 1.000, g = 0.500, generator = white          
# ====================================================================================
#    s              E            dE/ds        ||eta2B||      ||fod||       ||Gammaod||    
# ====================================================================================

0.00000000     1.50000000     -0.14583333    0.44876373     0.00000000     1.41421356     
0.05000000     1.50000000     -0.14583333    0.44876373     0.00000000     1.35381566     
0.10000000     1.49270833     -0.13367253    0.42979747     0.00000000     1.29614651     
0.15000000     1.48602471     -0.12254811    0.41164814     0.00000000     1.24106506     
0.20000000     1.47989730     -0.11236829    0.39427889     0.00000000     1.18843958     
0.25000000     1.47427889     -0.10304997    0.37765479     0.00000000     1.13814681     
0.30000000     1.46912639     -0.09451779    0.36174260     0.00000000     1.09007127     
0.35000000     1.46440050     -0.08670339    0.34651074     0.00000000     1.04410458     
0.40000000     1.46006533     -0.07954463    0.33192916     0.00000000     1.00014488     
0.45000000     1.45608810     -0.07298504    0.31796925     0.00000000     0.95809633     
0.50000000     1.45243885     -0.06697325    0.30460373     0.00000000     0.91786859     
0.55000000     1.44909018     -0.06146245    0.29180662     0.00000000     0.87937646     
0.60000000     1.44601706     -0.05641001    0.27955314     0.00000000     0.84253945     
0.65000000     1.44319656     -0.05177707    0.26781965     0.00000000     0.80728147     
0.70000000     1.44060771     -0.04752815    0.25658360     0.00000000     0.77353049     
0.75000000     1.43823130     -0.04363091    0.24582345     0.00000000     0.74121829     
0.80000000     1.43604975     -0.04005576    0.23551865     0.00000000     0.71028018     
0.85000000     1.43404697     -0.03677572    0.22564958     0.00000000     0.68065477     
0.90000000     1.43220818     -0.03376610    0.21619747     0.00000000     0.65228377     
0.95000000     1.43051988     -0.03100432    0.20714442     0.00000000     0.62511178     
1.00000000     1.42896966     -0.02846975    0.19847330     0.00000000     0.59908611     
1.05000000     1.42754617     -0.02614349    0.19016777     0.00000000     0.57415665     
1.10000000     1.42623900     -0.02400826    0.18221219     0.00000000     0.55027566     
1.15000000     1.42503858     -0.02204822    0.17459161     0.00000000     0.52739768     
1.20000000     1.42393617     -0.02024889    0.16729173     0.00000000     0.50547938     
1.25000000     1.42292373     -0.01859698    0.16029891     0.00000000     0.48447946     
1.30000000     1.42199388     -0.01708033    0.15360006     0.00000000     0.46435850     
1.35000000     1.42113986     -0.01568779    0.14718269     0.00000000     0.44507890     
1.40000000     1.42035547     -0.01440913    0.14103484     0.00000000     0.42660475     
1.45000000     1.41963502     -0.01323500    0.13514508     0.00000000     0.40890179     
1.50000000     1.41897327     -0.01215680    0.12950248     0.00000000     0.39193727     
1.55000000     1.41836543     -0.01116666    0.12409655     0.00000000     0.37567989     
1.60000000     1.41780709     -0.01025735    0.11891729     0.00000000     0.36009976     
1.65000000     1.41729423     -0.00942225    0.11395511     0.00000000     0.34516829     
1.70000000     1.41682311     -0.00865527    0.10920084     0.00000000     0.33085814     
1.75000000     1.41639035     -0.00795084    0.10464570     0.00000000     0.31714318     
1.80000000     1.41599281     -0.00730384    0.10028129     0.00000000     0.30399840     
1.85000000     1.41562762     -0.00670958    0.09609956     0.00000000     0.29139987     
1.90000000     1.41529214     -0.00616374    0.09209282     0.00000000     0.27932470     
1.95000000     1.41498395     -0.00566236    0.08825370     0.00000000     0.26775097     
2.00000000     1.41470083     -0.00520182    0.08457514     0.00000000     0.25665773     
2.05000000     1.41444074     -0.00477879    0.08105039     0.00000000     0.24602488     
2.10000000     1.41420180     -0.00439019    0.07767298     0.00000000     0.23583322     
2.15000000     1.41398229     -0.00403323    0.07443671     0.00000000     0.22606433     
2.20000000     1.41378063     -0.00370532    0.07133566     0.00000000     0.21670059     
2.25000000     1.41359536     -0.00340409    0.06836415     0.00000000     0.20772513     
2.30000000     1.41342516     -0.00312737    0.06551674     0.00000000     0.19912178     
2.35000000     1.41326879     -0.00287316    0.06278823     0.00000000     0.19087505     
2.40000000     1.41312513     -0.00263963    0.06017363     0.00000000     0.18297012     
2.45000000     1.41299315     -0.00242510    0.05766816     0.00000000     0.17539277     
2.50000000     1.41287190     -0.00222801    0.05526725     0.00000000     0.16812939     
2.55000000     1.41276050     -0.00204695    0.05296652     0.00000000     0.16116695     
2.60000000     1.41265815     -0.00188061    0.05076178     0.00000000     0.15449294     
2.65000000     1.41256412     -0.00172780    0.04864899     0.00000000     0.14809539     
2.70000000     1.41247773     -0.00158741    0.04662433     0.00000000     0.14196284     
2.75000000     1.41239836     -0.00145843    0.04468408     0.00000000     0.13608428     
2.80000000     1.41232544     -0.00133993    0.04282474     0.00000000     0.13044918     
2.85000000     1.41225844     -0.00123107    0.04104290     0.00000000     0.12504745     
2.90000000     1.41219689     -0.00113105    0.03933534     0.00000000     0.11986941     
2.95000000     1.41214033     -0.00103916    0.03769894     0.00000000     0.11490579     
3.00000000     1.41208838     -0.00095475    0.03613074     0.00000000     0.11014771     
3.05000000     1.41204064     -0.00087719    0.03462787     0.00000000     0.10558664     
3.10000000     1.41199678     -0.00080593    0.03318762     0.00000000     0.10121442     
3.15000000     1.41195648     -0.00074046    0.03180736     0.00000000     0.09702323     
3.20000000     1.41191946     -0.00068031    0.03048460     0.00000000     0.09300557     
3.25000000     1.41188544     -0.00062505    0.02921693     0.00000000     0.08915425     
3.30000000     1.41185419     -0.00057428    0.02800204     0.00000000     0.08546239     
3.35000000     1.41182548     -0.00052763    0.02683775     0.00000000     0.08192338     
3.40000000     1.41179910     -0.00048478    0.02572193     0.00000000     0.07853089     
3.45000000     1.41177486     -0.00044540    0.02465257     0.00000000     0.07527885     
3.50000000     1.41175259     -0.00040923    0.02362772     0.00000000     0.07216146     
3.55000000     1.41173213     -0.00037599    0.02264553     0.00000000     0.06917312     
3.60000000     1.41171333     -0.00034545    0.02170421     0.00000000     0.06630851     
3.65000000     1.41169605     -0.00031739    0.02080208     0.00000000     0.06356250     
3.70000000     1.41168018     -0.00029162    0.01993749     0.00000000     0.06093017     
3.75000000     1.41166560     -0.00026793    0.01910887     0.00000000     0.05840683     
3.80000000     1.41165221     -0.00024617    0.01831473     0.00000000     0.05598796     
3.85000000     1.41163990     -0.00022618    0.01755363     0.00000000     0.05366924     
3.90000000     1.41162859     -0.00020781    0.01682419     0.00000000     0.05144652     
3.95000000     1.41161820     -0.00019093    0.01612509     0.00000000     0.04931582     
4.00000000     1.41160865     -0.00017543    0.01545508     0.00000000     0.04727335     
4.05000000     1.41159988     -0.00016118    0.01481293     0.00000000     0.04531544     
4.10000000     1.41159182     -0.00014809    0.01419749     0.00000000     0.04343859     
4.15000000     1.41158442     -0.00013606    0.01360765     0.00000000     0.04163946     
4.20000000     1.41157761     -0.00012501    0.01304233     0.00000000     0.03991482     
4.25000000     1.41157136     -0.00011486    0.01250052     0.00000000     0.03826159     
4.30000000     1.41156562     -0.00010553    0.01198124     0.00000000     0.03667682     
4.35000000     1.41156034     -0.00009696    0.01148355     0.00000000     0.03515766     
4.40000000     1.41155549     -0.00008909    0.01100655     0.00000000     0.03370141     
4.45000000     1.41155104     -0.00008186    0.01054938     0.00000000     0.03230547     
4.50000000     1.41154695     -0.00007521    0.01011121     0.00000000     0.03096732     
4.55000000     1.41154319     -0.00006910    0.00969126     0.00000000     0.02968459     
4.60000000     1.41153973     -0.00006349    0.00928877     0.00000000     0.02845497     
4.65000000     1.41153656     -0.00005833    0.00890300     0.00000000     0.02727628     
4.70000000     1.41153364     -0.00005360    0.00853327     0.00000000     0.02614639     
4.75000000     1.41153096     -0.00004924    0.00817890     0.00000000     0.02506330     
4.80000000     1.41152850     -0.00004525    0.00783926     0.00000000     0.02402506     
4.85000000     1.41152624     -0.00004157    0.00751374     0.00000000     0.02302982     
4.90000000     1.41152416     -0.00003820    0.00720174     0.00000000     0.02207579     
4.95000000     1.41152225     -0.00003509    0.00690271     0.00000000     0.02116127     
5.00000000     1.41152049     -0.00003224    0.00661610     0.00000000     0.02028463     
5.05000000     1.41151888     -0.00002963    0.00634139     0.00000000     0.01944430     
5.10000000     1.41151740     -0.00002722    0.00607811     0.00000000     0.01863876     
5.15000000     1.41151604     -0.00002501    0.00582576     0.00000000     0.01786659     
5.20000000     1.41151479     -0.00002298    0.00558389     0.00000000     0.01712641     
5.25000000     1.41151364     -0.00002111    0.00535207     0.00000000     0.01641687     
5.30000000     1.41151258     -0.00001940    0.00512988     0.00000000     0.01573673     
5.35000000     1.41151161     -0.00001782    0.00491692     0.00000000     0.01508476     
5.40000000     1.41151072     -0.00001638    0.00471281     0.00000000     0.01445979     
5.45000000     1.41150990     -0.00001505    0.00451718     0.00000000     0.01386071     
5.50000000     1.41150915     -0.00001382    0.00432967     0.00000000     0.01328644     
5.55000000     1.41150846     -0.00001270    0.00414994     0.00000000     0.01273596     
5.60000000     1.41150783     -0.00001167    0.00397769     0.00000000     0.01220828     
5.65000000     1.41150724     -0.00001072    0.00381258     0.00000000     0.01170246     
5.70000000     1.41150671     -0.00000985    0.00365433     0.00000000     0.01121759     
5.75000000     1.41150621     -0.00000905    0.00350266     0.00000000     0.01075281     
5.80000000     1.41150576     -0.00000832    0.00335728     0.00000000     0.01030728     
