# delta = 1.000, g = 0.500, generator = white          
# ===================================================================================================
#    s              E            dE/ds        ||eta2B||      ||fod||       ||Gammaod||    ||Omega2B||    
# ===================================================================================================

0.00000000     1.50000000     -0.14583333    0.44876373     0.00000000     1.41421356     0.00000000     
0.10000000     1.48604042     -0.13337040    0.44876373     0.00000000     1.29374147     0.04487637     
0.20000000     1.47435056     -0.11170866    0.41089125     0.00000000     1.18403137     0.08596549     
0.30000000     1.46455529     -0.09362034    0.37626071     0.00000000     1.08400809     0.12359152     
0.40000000     1.45634323     -0.07850005    0.34458567     0.00000000     0.99272877     0.15805001     
0.50000000     1.44945544     -0.06584954    0.31560707     0.00000000     0.90936159     0.18961059     
0.60000000     1.44367619     -0.05525745    0.28909004     0.00000000     0.83316878     0.21851939     
0.70000000     1.43882553     -0.04638321    0.26482124     0.00000000     0.76349296     0.24500122     
0.80000000     1.43475314     -0.03894421    0.24260666     0.00000000     0.69974592     0.26926149     
0.90000000     1.43133337     -0.03270546    0.22226961     0.00000000     0.64139948     0.29148795     
1.00000000     1.42846108     -0.02747129    0.20364913     0.00000000     0.58797785     0.31185226     
1.10000000     1.42604821     -0.02307847    0.18659844     0.00000000     0.53905133     0.33051137     
1.20000000     1.42402100     -0.01939073    0.17098361     0.00000000     0.49423089     0.34760889     
1.30000000     1.42231760     -0.01629415    0.15668244     0.00000000     0.45316365     0.36327619     
1.40000000     1.42088614     -0.01369344    0.14358330     0.00000000     0.41552896     0.37763348     
1.50000000     1.41968310     -0.01150881    0.13158426     0.00000000     0.38103503     0.39079077     
1.60000000     1.41867196     -0.00967341    0.12059215     0.00000000     0.34941602     0.40284876     
1.70000000     1.41782205     -0.00813123    0.11052184     0.00000000     0.32042945     0.41389966     
1.80000000     1.41710763     -0.00683528    0.10129550     0.00000000     0.29385399     0.42402787     
1.90000000     1.41650707     -0.00574614    0.09284193     0.00000000     0.26948740     0.43331067     
2.00000000     1.41600221     -0.00483074    0.08509603     0.00000000     0.24714482     0.44181885     
2.10000000     1.41557778     -0.00406130    0.07799824     0.00000000     0.22665718     0.44961722     
2.20000000     1.41522095     -0.00341453    0.07149407     0.00000000     0.20786974     0.45676516     
2.30000000     1.41492097     -0.00287082    0.06553363     0.00000000     0.19064087     0.46331705     
2.40000000     1.41466875     -0.00241375    0.06007128     0.00000000     0.17484086     0.46932271     
2.50000000     1.41445671     -0.00202949    0.05506523     0.00000000     0.16035091     0.47482777     
2.60000000     1.41427843     -0.00170643    0.05047723     0.00000000     0.14706217     0.47987406     
2.70000000     1.41412853     -0.00143481    0.04627224     0.00000000     0.13487489     0.48449986     
2.80000000     1.41400251     -0.00120645    0.04241819     0.00000000     0.12369767     0.48874030     
2.90000000     1.41389655     -0.00101444    0.03888570     0.00000000     0.11344670     0.49262751     
3.00000000     1.41380746     -0.00085300    0.03564788     0.00000000     0.10404518     0.49619098     
3.10000000     1.41373256     -0.00071725    0.03268007     0.00000000     0.09542268     0.49945771     
3.20000000     1.41366959     -0.00060312    0.02995970     0.00000000     0.08751461     0.50245245     
3.30000000     1.41361664     -0.00050715    0.02746610     0.00000000     0.08026178     0.50519787     
3.40000000     1.41357212     -0.00042645    0.02518032     0.00000000     0.07360989     0.50771476     
3.50000000     1.41353469     -0.00035860    0.02308501     0.00000000     0.06750913     0.51002216     
3.60000000     1.41350323     -0.00030154    0.02116427     0.00000000     0.06191387     0.51213753     
3.70000000     1.41347677     -0.00025356    0.01940351     0.00000000     0.05678221     0.51407688     
3.80000000     1.41345453     -0.00021322    0.01778941     0.00000000     0.05207575     0.51585487     
3.90000000     1.41343583     -0.00017929    0.01630971     0.00000000     0.04775926     0.51748493     
4.00000000     1.41342012     -0.00015077    0.01495322     0.00000000     0.04380045     0.51897938     
4.10000000     1.41340690     -0.00012678    0.01370965     0.00000000     0.04016969     0.52034953     
4.20000000     1.41339579     -0.00010661    0.01256960     0.00000000     0.03683979     0.52160571     
4.30000000     1.41338645     -0.00008965    0.01152443     0.00000000     0.03378585     0.52275742     
4.40000000     1.41337860     -0.00007539    0.01056624     0.00000000     0.03098498     0.52381335     
4.50000000     1.41337201     -0.00006339    0.00968779     0.00000000     0.02841624     0.52478147     
4.60000000     1.41336646     -0.00005331    0.00888242     0.00000000     0.02606039     0.52566910     
4.70000000     1.41336180     -0.00004483    0.00814405     0.00000000     0.02389979     0.52648292     
4.80000000     1.41335788     -0.00003770    0.00746710     0.00000000     0.02191827     0.52722909     
4.90000000     1.41335459     -0.00003170    0.00684646     0.00000000     0.02010098     0.52791322     
5.00000000     1.41335182     -0.00002666    0.00627744     0.00000000     0.01843433     0.52854049     
5.10000000     1.41334950     -0.00002242    0.00575574     0.00000000     0.01690583     0.52911561     
5.20000000     1.41334755     -0.00001885    0.00527743     0.00000000     0.01550403     0.52964293     
5.30000000     1.41334590     -0.00001585    0.00483888     0.00000000     0.01421843     0.53012643     
5.40000000     1.41334453     -0.00001333    0.00443680     0.00000000     0.01303941     0.53056974     
5.50000000     1.41334337     -0.00001121    0.00406815     0.00000000     0.01195813     0.53097621     
5.60000000     1.41334240     -0.00000943    0.00373014     0.00000000     0.01096649     0.53134890     
5.70000000     1.41334158     -0.00000793    0.00342023     0.00000000     0.01005707     0.53169062     
5.80000000     1.41334089     -0.00000667    0.00313608     0.00000000     0.00922304     0.53200395     
5.90000000     1.41334032     -0.00000560    0.00287555     0.00000000     0.00845817     0.53229125     
6.00000000     1.41333983     -0.00000471    0.00263667     0.00000000     0.00775671     0.53255467     
6.10000000     1.41333943     -0.00000396    0.00241764     0.00000000     0.00711341     0.53279621     
6.20000000     1.41333909     -0.00000333    0.00221682     0.00000000     0.00652345     0.53301769     
6.30000000     1.41333880     -0.00000280    0.00203268     0.00000000     0.00598241     0.53322076     
6.40000000     1.41333856     -0.00000236    0.00186385     0.00000000     0.00548624     0.53340696     
6.50000000     1.41333836     -0.00000198    0.00170904     0.00000000     0.00503121     0.53357770     
