#   delta = 1.000, g = 0.600, ds = 0.010
#   s             E             dE       ||Gammaod||    ||eta2B||    

0.0000000     1.4000000     -0.2100000    1.6970563     0.5385165     
0.0100000     1.3979087     -0.2082608    1.6830613     0.5385165     
0.0200000     1.3958516     -0.2048581    1.6691924     0.5341592     
0.0300000     1.3938280     -0.2015129    1.6554482     0.5298383     
0.0400000     1.3918375     -0.1982244    1.6418272     0.5255533     
0.0500000     1.3898795     -0.1949913    1.6283282     0.5213040     
0.0600000     1.3879534     -0.1918128    1.6149498     0.5170901     
0.0700000     1.3860587     -0.1886879    1.6016907     0.5129112     
0.0800000     1.3841948     -0.1856156    1.5885497     0.5087670     
0.0900000     1.3823613     -0.1825949    1.5755255     0.5046572     
0.1000000     1.3805576     -0.1796250    1.5626167     0.5005815     
0.1100000     1.3787832     -0.1767050    1.5498223     0.4965396     
0.1200000     1.3770377     -0.1738339    1.5371410     0.4925312     
0.1300000     1.3753205     -0.1710109    1.5245715     0.4885560     
0.1400000     1.3736312     -0.1682351    1.5121128     0.4846138     
0.1500000     1.3719693     -0.1655058    1.4997636     0.4807041     
0.1600000     1.3703343     -0.1628221    1.4875228     0.4768268     
0.1700000     1.3687259     -0.1601831    1.4753893     0.4729816     
0.1800000     1.3671435     -0.1575882    1.4633620     0.4691681     
0.1900000     1.3655867     -0.1550364    1.4514397     0.4653861     
0.2000000     1.3640552     -0.1525272    1.4396214     0.4616353     
0.2100000     1.3625484     -0.1500597    1.4279060     0.4579155     
0.2200000     1.3610660     -0.1476332    1.4162925     0.4542263     
0.2300000     1.3596075     -0.1452470    1.4047799     0.4505676     
0.2400000     1.3581726     -0.1429003    1.3933670     0.4469390     
0.2500000     1.3567609     -0.1405926    1.3820529     0.4433403     
0.2600000     1.3553720     -0.1383231    1.3708366     0.4397712     
0.2700000     1.3540055     -0.1360912    1.3597171     0.4362315     
0.2800000     1.3526611     -0.1338961    1.3486934     0.4327209     
0.2900000     1.3513383     -0.1317374    1.3377647     0.4292391     
0.3000000     1.3500368     -0.1296143    1.3269298     0.4257860     
0.3100000     1.3487563     -0.1275262    1.3161880     0.4223612     
0.3200000     1.3474965     -0.1254725    1.3055382     0.4189646     
0.3300000     1.3462569     -0.1234527    1.2949796     0.4155958     
0.3400000     1.3450373     -0.1214662    1.2845112     0.4122547     
0.3500000     1.3438372     -0.1195123    1.2741323     0.4089409     
0.3600000     1.3426565     -0.1175906    1.2638418     0.4056544     
0.3700000     1.3414948     -0.1157004    1.2536390     0.4023948     
0.3800000     1.3403517     -0.1138413    1.2435230     0.3991618     
0.3900000     1.3392270     -0.1120127    1.2334929     0.3959554     
0.4000000     1.3381204     -0.1102140    1.2235479     0.3927752     
0.4100000     1.3370315     -0.1084449    1.2136873     0.3896210     
0.4200000     1.3359601     -0.1067047    1.2039101     0.3864927     
0.4300000     1.3349059     -0.1049930    1.1942155     0.3833899     
0.4400000     1.3338686     -0.1033093    1.1846029     0.3803125     
0.4500000     1.3328479     -0.1016532    1.1750714     0.3772603     
0.4600000     1.3318436     -0.1000240    1.1656202     0.3742329     
0.4700000     1.3308554     -0.0984215    1.1562486     0.3712303     
0.4800000     1.3298830     -0.0968452    1.1469558     0.3682523     
0.4900000     1.3289262     -0.0952945    1.1377411     0.3652985     
0.5000000     1.3279847     -0.0937692    1.1286037     0.3623688     
0.5100000     1.3270583     -0.0922687    1.1195429     0.3594631     
0.5200000     1.3261466     -0.0907926    1.1105580     0.3565810     
0.5300000     1.3252496     -0.0893405    1.1016483     0.3537224     
0.5400000     1.3243669     -0.0879121    1.0928130     0.3508872     
0.5500000     1.3234983     -0.0865069    1.0840515     0.3480750     
0.5600000     1.3226436     -0.0851245    1.0753632     0.3452857     
0.5700000     1.3218026     -0.0837646    1.0667472     0.3425192     
0.5800000     1.3209750     -0.0824267    1.0582031     0.3397751     
0.5900000     1.3201606     -0.0811106    1.0497299     0.3370534     
0.6000000     1.3193592     -0.0798158    1.0413273     0.3343539     
0.6100000     1.3185706     -0.0785420    1.0329944     0.3316763     
0.6200000     1.3177946     -0.0772888    1.0247307     0.3290205     
0.6300000     1.3170310     -0.0760559    1.0165354     0.3263862     
0.6400000     1.3162795     -0.0748430    1.0084081     0.3237734     
0.6500000     1.3155400     -0.0736497    1.0003481     0.3211818     
0.6600000     1.3148124     -0.0724757    0.9923547     0.3186113     
0.6700000     1.3140963     -0.0713207    0.9844273     0.3160616     
0.6800000     1.3133916     -0.0701843    0.9765654     0.3135327     
0.6900000     1.3126982     -0.0690663    0.9687684     0.3110242     
0.7000000     1.3120157     -0.0679664    0.9610357     0.3085362     
0.7100000     1.3113442     -0.0668842    0.9533666     0.3060683     
0.7200000     1.3106834     -0.0658194    0.9457607     0.3036204     
0.7300000     1.3100330     -0.0647719    0.9382174     0.3011924     
