#   delta = 1.000, g = 0.300, ds = 0.100
#   s             E             dE       ||Gammaod||    ||eta2B||    

0.0000000     1.7000000     -0.0525000    0.8485281     0.2692582     
0.1000000     1.6949898     -0.0477048    0.7711701     0.2692582     
0.2000000     1.6908513     -0.0394085    0.7009688     0.2447351     
0.3000000     1.6874320     -0.0325616    0.6372365     0.2224534     
0.4000000     1.6846064     -0.0269088    0.5793576     0.2022066     
0.5000000     1.6822712     -0.0222405    0.5267799     0.1838078     
0.6000000     1.6803409     -0.0183843    0.4790068     0.1670873     
0.7000000     1.6787452     -0.0151982    0.4355912     0.1518913     
0.8000000     1.6774260     -0.0125652    0.3961292     0.1380802     
0.9000000     1.6763352     -0.0103892    0.3602562     0.1255273     
1.0000000     1.6754333     -0.0085905    0.3276424     0.1141175     
1.1000000     1.6746876     -0.0071035    0.2979888     0.1037465     
1.2000000     1.6740709     -0.0058742    0.2710249     0.0943195     
1.3000000     1.6735609     -0.0048578    0.2465053     0.0857502     
1.4000000     1.6731391     -0.0040174    0.2242071     0.0779604     
1.5000000     1.6727904     -0.0033225    0.2039284     0.0708792     
1.6000000     1.6725019     -0.0027478    0.1854856     0.0644418     
1.7000000     1.6722633     -0.0022726    0.1687120     0.0585898     
1.8000000     1.6720660     -0.0018796    0.1534561     0.0532697     
1.9000000     1.6719028     -0.0015546    0.1395805     0.0484331     
2.0000000     1.6717679     -0.0012858    0.1269600     0.0440361     
2.1000000     1.6716562     -0.0010635    0.1154810     0.0400386     
2.2000000     1.6715639     -0.0008796    0.1050401     0.0364043     
2.3000000     1.6714875     -0.0007275    0.0955433     0.0331001     
2.4000000     1.6714244     -0.0006017    0.0869052     0.0300960     
2.5000000     1.6713721     -0.0004977    0.0790482     0.0273648     
2.6000000     1.6713289     -0.0004117    0.0719015     0.0248816     
2.7000000     1.6712932     -0.0003405    0.0654010     0.0226239     
2.8000000     1.6712636     -0.0002817    0.0594881     0.0205712     
2.9000000     1.6712392     -0.0002330    0.0541099     0.0187049     
3.0000000     1.6712189     -0.0001927    0.0492178     0.0170080     
3.1000000     1.6712022     -0.0001594    0.0447680     0.0154651     
3.2000000     1.6711884     -0.0001318    0.0407205     0.0140623     
3.3000000     1.6711769     -0.0001091    0.0370389     0.0127867     
3.4000000     1.6711675     -0.0000902    0.0336901     0.0116270     
3.5000000     1.6711596     -0.0000746    0.0306441     0.0105725     
3.6000000     1.6711532     -0.0000617    0.0278734     0.0096136     
