# g = 0.1
# E = 1.8969958
# num trials = 30
# layers    units               activation     frac train     timesteps      E diff         E pred avg     E pred stddev  loss avg       loss stddev    params         
  d         [500]               linear         0.100          2              8.47386e-04    1.89784e+00    3.53599e-05    7.11697e-09    1.91905e-09    2001           
  d         [500]               relu           0.100          2              -8.21553e-01   1.07544e+00    9.40447e-01    1.56150e+00    1.78564e+00    2001           
  d         [500]               elu            0.100          2              9.12403e-04    1.89791e+00    3.38758e-05    1.59659e-08    4.34540e-09    2001           
  d         [500]               tanh           0.100          2              -8.97538e-01   9.99458e-01    1.15746e-04    8.06912e-01    2.11113e-06    2001           
  d         [500]               sigmoid        0.100          2              -8.97008e-01   9.99987e-01    3.13424e-06    8.06916e-01    2.76941e-06    2001           
  d         [500]               exponential    0.100          2              1.04072e-04    1.89710e+00    1.48633e-03    2.93604e-06    1.02643e-05    2001           
  s         [500]               linear         0.100          2              -1.57003e+28   -1.57003e+28   8.45487e+28    2.61534e-09    2.47485e-10    251501         
  s         [500]               relu           0.100          2              -7.07422e-01   1.18957e+00    9.05298e-01    1.32127e+00    1.73649e+00    251501         
  s         [500]               elu            0.100          2              4.01118e-04    1.89740e+00    5.92303e-05    1.69730e-09    7.44196e-10    251501         
  s         [500]               tanh           0.100          2              -8.97018e-01   9.99977e-01    6.12113e-06    8.06905e-01    0.00000e+00    251501         
  s         [500]               sigmoid        0.100          2              -8.96997e-01   9.99999e-01    4.25532e-07    8.06907e-01    7.58790e-07    251501         
  s         [500]               exponential    0.100          2              nan            nan            nan            nan            nan            251501         
  l         [500]               linear         0.100          2              5.18233e-04    1.89751e+00    5.40887e-05    6.92584e-10    2.66757e-10    1004501        
  l         [500]               relu           0.100          2              -1.26760e+00   6.29392e-01    8.90123e-01    2.40231e+00    1.69869e+00    1004501        
  l         [500]               elu            0.100          2              8.38545e-04    1.89783e+00    1.28017e-05    8.53613e-09    1.12746e-09    1004501        
  l         [500]               tanh           0.100          2              -8.97455e-01   9.99541e-01    3.74117e-05    8.06906e-01    1.22878e-07    1004501        
  l         [500]               sigmoid        0.100          2              -8.96998e-01   9.99998e-01    3.75350e-07    8.06909e-01    6.23627e-07    1004501        
  l         [500]               exponential    0.100          2              nan            nan            nan            nan            nan            1004501        
  g         [500]               linear         0.100          2              6.65155e-04    1.89766e+00    2.19360e-05    1.93587e-09    3.38220e-10    753501         
  g         [500]               relu           0.100          2              -1.20123e+00   6.95766e-01    9.14416e-01    2.28219e+00    1.73649e+00    753501         
  g         [500]               elu            0.100          2              8.05345e-04    1.89780e+00    9.47679e-06    6.40943e-09    6.04688e-10    753501         
  g         [500]               tanh           0.100          2              -8.97477e-01   9.99518e-01    8.66286e-05    8.06906e-01    1.40972e-07    753501         
  g         [500]               sigmoid        0.100          2              -8.96997e-01   9.99998e-01    3.95372e-07    8.06908e-01    6.40663e-07    753501         
  g         [500]               exponential    0.100          2              -1.83373e+00   6.32653e-02    3.40643e-01    3.48332e+00    6.46836e-01    753501         
