# g = 0.1
# E = 1.8969958
# num trials = 30
# layers    units               activation     frac train     timesteps      E diff         E pred avg     E pred stddev  loss avg       loss stddev    params         
  d         [100]               elu            0.100          2              9.78890e-04    1.89797e+00    3.68973e-05    2.84487e-08    9.74086e-09    401            
  d         [300]               elu            0.100          2              9.48054e-04    1.89794e+00    2.17212e-05    2.07559e-08    5.51625e-09    1201           
  d         [1000]              elu            0.100          2              8.83971e-04    1.89788e+00    1.42907e-05    1.31955e-08    1.72191e-09    4001           
  s         [100]               elu            0.100          2              7.55877e-02    1.97258e+00    4.02390e-01    2.01970e-08    9.78871e-09    10301          
  s         [300]               elu            0.100          2              1.65697e-01    2.06269e+00    6.89871e-01    4.86798e-09    2.26389e-09    90901          
  s         [1000]              elu            0.100          2              -5.97959e-04   1.89640e+00    5.02247e-04    4.45551e-10    2.73424e-10    1003001        
  l         [100]               elu            0.100          2              7.86824e-04    1.89778e+00    7.54519e-05    4.59035e-09    2.65699e-09    40901          
  l         [300]               elu            0.100          2              8.38402e-04    1.89783e+00    2.24179e-05    7.30851e-09    1.52446e-09    362701         
  l         [1000]              elu            0.100          2              8.04824e-04    1.89780e+00    8.28590e-06    8.85470e-09    7.31485e-10    4009001        
  g         [100]               elu            0.100          2              8.99544e-04    1.89790e+00    2.72901e-05    1.10002e-08    3.18843e-09    30701          
  g         [300]               elu            0.100          2              8.39284e-04    1.89784e+00    1.23706e-05    7.49289e-09    9.60574e-10    272101         
  g         [1000]              elu            0.100          2              7.57780e-04    1.89775e+00    8.57538e-06    5.52231e-09    4.48426e-10    3007001        
