# g = 0.1
# E = 1.8969958
# num trials = 30
# layers    units               activation     frac train     timesteps      E diff         E pred avg     E pred stddev  loss avg       loss stddev    params         
  s         [10]                elu            0.100          2              1.58854e+00    3.48554e+00    6.38494e+00    1.00663e-07    9.28731e-08    131            
  s         [10]                elu            0.100          3              6.84881e-03    1.90384e+00    1.35722e+00    1.41107e-07    1.53887e-07    131            
  s         [10]                elu            0.100          4              -7.61629e-02   1.82083e+00    1.06988e+00    1.72659e-07    1.54020e-07    131            
  s         [10]                elu            0.100          5              -9.37596e-02   1.80324e+00    6.36671e-01    1.64274e-07    2.29093e-07    131            
  s         [10]                elu            0.100          6              8.83405e+18    8.83405e+18    4.75728e+19    1.68283e-07    2.11879e-07    131            
  s         [50]                elu            0.100          2              5.05507e-01    2.40250e+00    9.54045e-01    3.53345e-08    2.42073e-08    2651           
  s         [50]                elu            0.100          3              8.87266e-04    1.89788e+00    8.14701e-05    5.42376e-08    3.62007e-08    2651           
  s         [50]                elu            0.100          4              1.51410e-02    1.91214e+00    7.68883e-02    5.65153e-08    3.73389e-08    2651           
  s         [50]                elu            0.100          5              8.60753e-04    1.89786e+00    6.00381e-05    9.42298e-08    5.60845e-08    2651           
  s         [50]                elu            0.100          6              9.04348e-04    1.89790e+00    4.33298e-04    9.39755e-08    4.65833e-08    2651           
  s         [100]               elu            0.100          2              4.31800e-01    2.32880e+00    1.02565e+00    1.73336e-08    7.96761e-09    10301          
  s         [100]               elu            0.100          3              8.25344e-04    1.89782e+00    5.16751e-05    3.11649e-08    1.63576e-08    10301          
  s         [100]               elu            0.100          4              7.02226e-02    1.96722e+00    2.80438e-01    5.98959e-08    2.69088e-08    10301          
  s         [100]               elu            0.100          5              8.15438e-04    1.89781e+00    6.53958e-05    7.64991e-08    3.37124e-08    10301          
  s         [100]               elu            0.100          6              7.90309e-04    1.89779e+00    7.14339e-05    8.57545e-08    4.21178e-08    10301          
  s         [500]               elu            0.100          2              4.13015e-04    1.89741e+00    5.18377e-05    1.89932e-09    8.82750e-10    251501         
  s         [500]               elu            0.100          3              5.16099e-04    1.89751e+00    3.44389e-05    9.62068e-09    2.71804e-09    251501         
  s         [500]               elu            0.100          4              2.91962e-02    1.92619e+00    1.54662e-01    1.43610e-08    3.83475e-09    251501         
  s         [500]               elu            0.100          5              4.67116e-04    1.89746e+00    9.39442e-05    2.52082e-08    9.92803e-09    251501         
  s         [500]               elu            0.100          6              4.90382e-04    1.89749e+00    4.63929e-05    3.73964e-08    9.75951e-09    251501         
  s         [1000]              elu            0.100          2              -8.05037e-04   1.89619e+00    7.89509e-04    5.06116e-10    3.86883e-10    1003001        
  s         [1000]              elu            0.100          3              -2.92461e-02   1.86775e+00    1.58952e-01    2.54796e-09    1.50615e-09    1003001        
  s         [1000]              elu            0.100          4              -1.34544e+00   5.51556e-01    1.25945e+00    3.08630e-08    8.72826e-08    1003001        
  s         [1000]              elu            0.100          5              -8.09095e-04   1.89619e+00    3.53360e-03    9.20695e-07    7.93599e-07    1003001        
  s         [1000]              elu            0.100          6              6.73654e-02    1.96436e+00    1.39993e+00    9.18894e-06    2.77641e-05    1003001        
  s         [5000]              elu            0.100          2              -2.89700e+00   -1.00000e+00   0.00000e+00    8.40002e+00    3.37175e-07    25015001       
  s         [5000]              elu            0.100          3              5.85761e+00    7.75461e+00    1.47277e+01    8.39988e+00    2.66560e-07    25015001       
  s         [5000]              elu            0.100          4              nan            nan            nan            8.39974e+00    1.68587e-07    25015001       
  s         [5000]              elu            0.100          5              -2.89700e+00   -1.00000e+00   9.09459e-07    8.39960e+00    nan            25015001       
