# delta = 1.000, g = 0.500, generator = white          
# ====================================================================================
#    s              E            dE/ds        ||eta2B||      ||fod||       ||Gammaod||    
# ====================================================================================

0.00000000     1.50000000     -0.14583333    0.44876373     0.00000000     1.41421356     
0.50000000     1.50000000     -0.14583333    0.44876373     0.00000000     0.81036043     
1.00000000     1.42708333     -0.04788178    0.25759011     0.00000000     0.47327249     
1.50000000     1.40314244     -0.01627735    0.14985448     0.00000000     0.27805636     
2.00000000     1.39500377     -0.00560006    0.08766907     0.00000000     0.16365520     
2.50000000     1.39220374     -0.00193493    0.05142318     0.00000000     0.09636403     
3.00000000     1.39123628     -0.00066960    0.03020282     0.00000000     0.05674239     
3.50000000     1.39090148     -0.00023186    0.01775233     0.00000000     0.03340884     
4.00000000     1.39078555     -0.00008030    0.01043890     0.00000000     0.01966855     
4.50000000     1.39074540     -0.00002781    0.00614010     0.00000000     0.01157836     
5.00000000     1.39073149     -0.00000963    0.00361225     0.00000000     0.00681545     
5.50000000     1.39072667     -0.00000334    0.00212537     0.00000000     0.00401164     
6.00000000     1.39072500     -0.00000116    0.00125063     0.00000000     0.00236121     
6.50000000     1.39072443     -0.00000040    0.00073595     0.00000000     0.00138976     
