# delta = 1.000, g = 0.500, generator = white          
# ===================================================================================================
#    s              E            dE/ds        ||eta2B||      ||fod||       ||Gammaod||    ||Omega2B||    
# ===================================================================================================

0.00000000     1.50000000     -0.14583333    0.44876373     0.00000000     1.41421356     0.00000000     
0.00500000     1.49927362     -0.14471847    0.44724972     0.00000000     1.40818479     0.00224003     
0.01000000     1.49855341     -0.14349081    0.44536451     0.00000000     1.40218325     0.00447062     
0.01500000     1.49783931     -0.14227380    0.44348738     0.00000000     1.39620880     0.00669181     
0.02000000     1.49713126     -0.14106736    0.44161830     0.00000000     1.39026131     0.00890364     
0.02500000     1.49642921     -0.13987137    0.43975723     0.00000000     1.38434062     0.01110614     
0.03000000     1.49573312     -0.13868575    0.43790413     0.00000000     1.37844661     0.01329936     
0.03500000     1.49504292     -0.13751041    0.43605897     0.00000000     1.37257914     0.01548335     
0.04000000     1.49435858     -0.13634525    0.43422171     0.00000000     1.36673806     0.01765813     
0.04500000     1.49368003     -0.13519017    0.43239232     0.00000000     1.36092325     0.01982374     
0.05000000     1.49300723     -0.13404510    0.43057076     0.00000000     1.35513455     0.02198024     
0.05500000     1.49234013     -0.13290994    0.42875700     0.00000000     1.34937186     0.02412765     
0.06000000     1.49167868     -0.13178459    0.42695101     0.00000000     1.34363501     0.02626601     
0.06500000     1.49102282     -0.13066898    0.42515274     0.00000000     1.33792390     0.02839537     
0.07000000     1.49037252     -0.12956301    0.42336216     0.00000000     1.33223837     0.03051576     
0.07500000     1.48972773     -0.12846660    0.42157925     0.00000000     1.32657831     0.03262722     
0.08000000     1.48908838     -0.12737966    0.41980396     0.00000000     1.32094358     0.03472978     
0.08500000     1.48845445     -0.12630210    0.41803626     0.00000000     1.31533405     0.03682350     
0.09000000     1.48782588     -0.12523385    0.41627612     0.00000000     1.30974960     0.03890839     
0.09500000     1.48720263     -0.12417482    0.41452350     0.00000000     1.30419009     0.04098451     
0.10000000     1.48658464     -0.12312492    0.41277838     0.00000000     1.29865541     0.04305189     
0.10500000     1.48597188     -0.12208408    0.41104071     0.00000000     1.29314542     0.04511057     
0.11000000     1.48536430     -0.12105221    0.40931047     0.00000000     1.28765999     0.04716058     
0.11500000     1.48476186     -0.12002923    0.40758762     0.00000000     1.28219901     0.04920196     
0.12000000     1.48416450     -0.11901507    0.40587213     0.00000000     1.27676236     0.05123475     
0.12500000     1.48357219     -0.11800965    0.40416396     0.00000000     1.27134990     0.05325898     
0.13000000     1.48298489     -0.11701288    0.40246309     0.00000000     1.26596152     0.05527469     
0.13500000     1.48240254     -0.11602469    0.40076948     0.00000000     1.26059709     0.05728192     
0.14000000     1.48182512     -0.11504501    0.39908310     0.00000000     1.25525650     0.05928071     
0.14500000     1.48125257     -0.11407375    0.39740392     0.00000000     1.24993962     0.06127108     
0.15000000     1.48068485     -0.11311085    0.39573191     0.00000000     1.24464634     0.06325308     
0.15500000     1.48012192     -0.11215622    0.39406703     0.00000000     1.23937654     0.06522675     
0.16000000     1.47956374     -0.11120980    0.39240925     0.00000000     1.23413010     0.06719210     
0.16500000     1.47901028     -0.11027152    0.39075855     0.00000000     1.22890691     0.06914919     
0.17000000     1.47846148     -0.10934129    0.38911488     0.00000000     1.22370684     0.07109805     
0.17500000     1.47791731     -0.10841905    0.38747823     0.00000000     1.21852979     0.07303871     
0.18000000     1.47737773     -0.10750473    0.38584855     0.00000000     1.21337564     0.07497121     
0.18500000     1.47684270     -0.10659825    0.38422583     0.00000000     1.20824428     0.07689558     
0.19000000     1.47631219     -0.10569955    0.38261001     0.00000000     1.20313558     0.07881186     
0.19500000     1.47578614     -0.10480856    0.38100109     0.00000000     1.19804945     0.08072008     
0.20000000     1.47526453     -0.10392521    0.37939902     0.00000000     1.19298577     0.08262028     
0.20500000     1.47474731     -0.10304944    0.37780378     0.00000000     1.18794443     0.08451248     
0.21000000     1.47423446     -0.10218117    0.37621534     0.00000000     1.18292531     0.08639673     
0.21500000     1.47372592     -0.10132034    0.37463366     0.00000000     1.17792831     0.08827306     
0.22000000     1.47322167     -0.10046688    0.37305872     0.00000000     1.17295333     0.09014150     
0.22500000     1.47272166     -0.09962073    0.37149049     0.00000000     1.16800024     0.09200208     
0.23000000     1.47222587     -0.09878182    0.36992893     0.00000000     1.16306895     0.09385485     
0.23500000     1.47173425     -0.09795010    0.36837402     0.00000000     1.15815935     0.09569982     
0.24000000     1.47124677     -0.09712549    0.36682574     0.00000000     1.15327133     0.09753705     
0.24500000     1.47076339     -0.09630794    0.36528404     0.00000000     1.14840478     0.09936654     
0.25000000     1.47028408     -0.09549738    0.36374891     0.00000000     1.14355961     0.10118836     
0.25500000     1.46980881     -0.09469374    0.36222030     0.00000000     1.13873570     0.10300251     
0.26000000     1.46933753     -0.09389698    0.36069820     0.00000000     1.13393296     0.10480904     
0.26500000     1.46887022     -0.09310703    0.35918258     0.00000000     1.12915128     0.10660798     
0.27000000     1.46840684     -0.09232382    0.35767341     0.00000000     1.12439055     0.10839936     
0.27500000     1.46794736     -0.09154731    0.35617065     0.00000000     1.11965068     0.11018322     
0.28000000     1.46749174     -0.09077742    0.35467429     0.00000000     1.11493157     0.11195958     
0.28500000     1.46703996     -0.09001411    0.35318429     0.00000000     1.11023311     0.11372847     
0.29000000     1.46659197     -0.08925731    0.35170062     0.00000000     1.10555521     0.11548994     
0.29500000     1.46614775     -0.08850697    0.35022326     0.00000000     1.10089776     0.11724400     
0.30000000     1.46570726     -0.08776304    0.34875219     0.00000000     1.09626067     0.11899070     
0.30500000     1.46527048     -0.08702544    0.34728736     0.00000000     1.09164384     0.12073006     
0.31000000     1.46483736     -0.08629414    0.34582876     0.00000000     1.08704717     0.12246212     
0.31500000     1.46440789     -0.08556907    0.34437636     0.00000000     1.08247056     0.12418690     
0.32000000     1.46398202     -0.08485018    0.34293013     0.00000000     1.07791392     0.12590444     
0.32500000     1.46355973     -0.08413742    0.34149005     0.00000000     1.07337715     0.12761476     
0.33000000     1.46314099     -0.08343072    0.34005608     0.00000000     1.06886016     0.12931791     
0.33500000     1.46272577     -0.08273005    0.33862820     0.00000000     1.06436286     0.13101390     
0.34000000     1.46231403     -0.08203534    0.33720639     0.00000000     1.05988514     0.13270277     
0.34500000     1.46190575     -0.08134655    0.33579062     0.00000000     1.05542691     0.13438455     
0.35000000     1.46150090     -0.08066362    0.33438085     0.00000000     1.05098809     0.13605927     
0.35500000     1.46109944     -0.07998650    0.33297708     0.00000000     1.04656857     0.13772695     
0.36000000     1.46070136     -0.07931514    0.33157926     0.00000000     1.04216828     0.13938764     
0.36500000     1.46030662     -0.07864950    0.33018737     0.00000000     1.03778710     0.14104135     
0.37000000     1.45991519     -0.07798951    0.32880140     0.00000000     1.03342497     0.14268813     
0.37500000     1.45952704     -0.07733513    0.32742130     0.00000000     1.02908177     0.14432799     
0.38000000     1.45914215     -0.07668632    0.32604707     0.00000000     1.02475743     0.14596097     
0.38500000     1.45876049     -0.07604302    0.32467866     0.00000000     1.02045186     0.14758709     
0.39000000     1.45838203     -0.07540519    0.32331606     0.00000000     1.01616496     0.14920639     
0.39500000     1.45800675     -0.07477277    0.32195924     0.00000000     1.01189665     0.15081889     
0.40000000     1.45763461     -0.07414573    0.32060817     0.00000000     1.00764684     0.15242463     
0.40500000     1.45726559     -0.07352401    0.31926284     0.00000000     1.00341545     0.15402363     
0.41000000     1.45689967     -0.07290757    0.31792321     0.00000000     0.99920237     0.15561591     
0.41500000     1.45653681     -0.07229636    0.31658926     0.00000000     0.99500754     0.15720152     
0.42000000     1.45617700     -0.07169034    0.31526097     0.00000000     0.99083087     0.15878048     
0.42500000     1.45582020     -0.07108946    0.31393831     0.00000000     0.98667226     0.16035281     
0.43000000     1.45546640     -0.07049368    0.31262126     0.00000000     0.98253163     0.16191854     
0.43500000     1.45511555     -0.06990295    0.31130979     0.00000000     0.97840891     0.16347770     
0.44000000     1.45476765     -0.06931723    0.31000387     0.00000000     0.97430400     0.16503033     
0.44500000     1.45442267     -0.06873648    0.30870350     0.00000000     0.97021682     0.16657644     
0.45000000     1.45408057     -0.06816065    0.30740863     0.00000000     0.96614729     0.16811606     
