# delta = 1.000, g = 0.500, generator = white          
# ====================================================================================
#    s              E            dE/ds        ||eta2B||      ||fod||       ||Gammaod||    
# ====================================================================================

0.00000000     1.50000000     -0.14583333    0.44876373     0.00000000     1.41421356     
0.01000000     1.49821863     -0.14279929    0.44411014     0.00000000     1.40218833     
0.02567455     1.49571930     -0.13854496    0.43749764     0.00000000     1.38355678     
0.05798151     1.49091546     -0.13037608    0.42449907     0.00000000     1.34597614     
0.09371980     1.48427985     -0.11911011    0.40586110     0.00000000     1.30565551     
0.16444570     1.47634123     -0.10565920    0.38237538     0.00000000     1.22955808     
0.23517160     1.46929810     -0.09375085    0.36026601     0.00000000     1.15808939     
0.30589751     1.46304796     -0.08320332    0.33945007     0.00000000     1.09093681     
0.37662341     1.45573595     -0.07088764    0.31336090     0.00000000     1.02781376     
0.49611962     1.44806143     -0.05799003    0.28343277     0.00000000     0.92959135     
0.61561582     1.44178254     -0.04745866    0.25638767     0.00000000     0.84098553     
0.73511203     1.43664259     -0.03885300    0.23194266     0.00000000     0.76099539     
0.89532296     1.43001089     -0.02777073    0.19601190     0.00000000     0.66574414     
1.09624861     1.42526970     -0.01986135    0.16567774     0.00000000     0.56314911     
1.29717426     1.42187869     -0.01421091    0.14005992     0.00000000     0.47649828     
1.49809991     1.41945189     -0.01017125    0.11841870     0.00000000     0.40325880     
1.76908241     1.41680549     -0.00576858    0.08908519     0.00000000     0.32205157     
2.11012175     1.41530529     -0.00327306    0.06703524     0.00000000     0.24272325     
2.45116110     1.41445268     -0.00185753    0.05045217     0.00000000     0.18295576     
2.79220044     1.41397008     -0.00105442    0.03797864     0.00000000     0.13791209     
3.13323979     1.41369525     -0.00059857    0.02859215     0.00000000     0.10395952     
3.47427913     1.41353987     -0.00033984    0.02152860     0.00000000     0.07836514     
3.81531848     1.41345125     -0.00019294    0.01621121     0.00000000     0.05907097     
4.15635782     1.41340115     -0.00010955    0.01220833     0.00000000     0.04452618     
4.49739717     1.41337265     -0.00006220    0.00919460     0.00000000     0.03356199     
4.83843652     1.41335649     -0.00003532    0.00692527     0.00000000     0.02529701     
5.17947586     1.41334730     -0.00002005    0.00521631     0.00000000     0.01906692     
5.52051521     1.41334209     -0.00001139    0.00392928     0.00000000     0.01437085     
5.86155455     1.41333913     -0.00000647    0.00295992     0.00000000     0.01083118     
6.20259390     1.41333745     -0.00000367    0.00222979     0.00000000     0.00816321     
6.54363324     1.41333649     -0.00000208    0.00167982     0.00000000     0.00615232     
6.88467259     1.41333595     -0.00000118    0.00126553     0.00000000     0.00463671     
7.22571193     1.41333564     -0.00000067    0.00095345     0.00000000     0.00349442     
7.56675128     1.41333547     -0.00000038    0.00071834     0.00000000     0.00263351     
7.90779062     1.41333537     -0.00000022    0.00054122     0.00000000     0.00198468     
