# delta = 1.000, g = 0.500, generator = white          
# ===================================================================================================
#    s              E            dE/ds        ||eta2B||      ||fod||       ||Gammaod||    ||Omega2B||    
# ===================================================================================================

0.00000000     1.50000000     -0.14583333    0.44876373     0.00000000     1.41421356     0.00000000     
0.01000000     1.49854792     -0.14458371    0.44876373     0.00000000     1.40213716     0.00448764     
0.03865018     1.49446905     -0.13982501    0.44497407     0.00000000     1.36767969     0.01730593     
0.06727197     1.49055127     -0.13302681    0.43415245     0.00000000     1.33379669     0.02993091     
0.09589376     1.48682420     -0.12653557    0.42349832     0.00000000     1.30079351     0.04224786     
0.12451555     1.48327891     -0.12036694    0.41310819     0.00000000     1.26864912     0.05426258     
0.15313734     1.47990639     -0.11450478    0.40297681     0.00000000     1.23733829     0.06598258     
0.18175913     1.47669805     -0.10893333    0.39309753     0.00000000     1.20683662     0.07741517     
0.21038092     1.47364576     -0.10363770    0.38346386     0.00000000     1.17712064     0.08856752     
0.23900271     1.47074179     -0.09860380    0.37406949     0.00000000     1.14816771     0.09944659     
0.26762450     1.46797882     -0.09381830    0.36490830     0.00000000     1.11995603     0.11005917     
0.29623913     1.46535054     -0.08926915    0.35597432     0.00000000     1.09247132     0.12040931     
0.32397983     1.46292562     -0.08501016    0.34726391     0.00000000     1.06650936     0.13019569     
0.34297713     1.46134400     -0.08164868    0.33903033     0.00000000     1.04924282     0.13670934     
0.35758742     1.46017173     -0.07933408    0.33355151     0.00000000     1.03626596     0.14160728     
0.36961907     1.45923190     -0.07755774    0.32943241     0.00000000     1.02574761     0.14557885     
0.38040067     1.45840740     -0.07607318    0.32609280     0.00000000     1.01643328     0.14909696     
0.47584879     1.45144780     -0.06926670    0.32313483     0.00000000     0.93423420     0.18019199     
0.56830289     1.44536650     -0.05833644    0.29700200     0.00000000     0.85615399     0.20980356     
0.62957753     1.44193858     -0.05050531    0.27213466     0.00000000     0.80890328     0.22775218     
0.67665118     1.43963764     -0.04574792    0.25707168     0.00000000     0.77560313     0.24041117     
0.72036858     1.43769409     -0.04220389    0.24645292     0.00000000     0.74633679     0.25154291     
0.76384629     1.43590930     -0.03908720    0.23711852     0.00000000     0.71842671     0.26216422     
0.80732401     1.43425617     -0.03621431    0.22821480     0.00000000     0.69158414     0.27238400     
0.85080172     1.43272451     -0.03355424    0.21965010     0.00000000     0.66575987     0.28222005     
0.89427943     1.43130535     -0.03109074    0.21140921     0.00000000     0.64091340     0.29168695     
0.93775714     1.42999036     -0.02880909    0.20347966     0.00000000     0.61700622     0.30079867     
0.98123486     1.42877186     -0.02669575    0.19584953     0.00000000     0.59400150     0.30956860     
1.02471257     1.42764274     -0.02473818    0.18850735     0.00000000     0.57186398     0.31800967     
1.06819028     1.42659641     -0.02292480    0.18144214     0.00000000     0.55055993     0.32613427     
1.11167092     1.42562671     -0.02124485    0.17464332     0.00000000     0.53005569     0.33395486     
1.15841112     1.42466151     -0.01963068    0.16810029     0.00000000     0.50882987     0.34205158     
1.21065045     1.42366689     -0.01799473    0.16132767     0.00000000     0.48599132     0.35076448     
1.26813795     1.42266615     -0.01633011    0.15404121     0.00000000     0.46187683     0.35996499     
1.32975603     1.42169488     -0.01468668    0.14634871     0.00000000     0.43720454     0.36937871     
1.39579703     1.42076066     -0.01309932    0.13847983     0.00000000     0.41208268     0.37896382     
1.46604488     1.41987621     -0.01158523    0.13046966     0.00000000     0.38679828     0.38861026     
1.54048208     1.41904909     -0.01016107    0.12241027     0.00000000     0.36155453     0.39823993     
1.61970565     1.41827880     -0.00883225    0.11436694     0.00000000     0.33634277     0.40785556     
1.70446700     1.41756440     -0.00759745    0.10633739     0.00000000     0.31113509     0.41746723     
1.71580966     1.41748439     -0.00695985    0.09831322     0.00000000     0.30818230     0.41859205     
1.73081255     1.41738145     -0.00680751    0.09737446     0.00000000     0.30434097     0.42005520     
1.75881551     1.41719410     -0.00656482    0.09615338     0.00000000     0.29722209     0.42276680     
1.79079541     1.41698930     -0.00623830    0.09389050     0.00000000     0.28923912     0.42580738     
1.81805890     1.41682363     -0.00593103    0.09135324     0.00000000     0.28261608     0.42832969     
1.84532239     1.41666575     -0.00566214    0.08924863     0.00000000     0.27615652     0.43078946     
1.87258587     1.41651505     -0.00540569    0.08719634     0.00000000     0.26984540     0.43319245     
1.89984936     1.41637116     -0.00516089    0.08519155     0.00000000     0.26367881     0.43554017     
1.92711285     1.41623380     -0.00492718    0.08323300     0.00000000     0.25765338     0.43783390     
1.95437634     1.41610266     -0.00470406    0.08131961     0.00000000     0.25176587     0.44007490     
1.98163983     1.41597745     -0.00449107    0.07945032     0.00000000     0.24601309     0.44226436     
2.00890332     1.41585792     -0.00428772    0.07762412     0.00000000     0.24039196     0.44440349     
2.03616681     1.41574380     -0.00409359    0.07584001     0.00000000     0.23489943     0.44649344     
2.06343030     1.41563485     -0.00390826    0.07409702     0.00000000     0.22953256     0.44853535     
2.09069379     1.41553083     -0.00373132    0.07239419     0.00000000     0.22428845     0.45053033     
2.11795728     1.41543152     -0.00356241    0.07073059     0.00000000     0.21916428     0.45247944     
2.14522077     1.41533671     -0.00340114    0.06910532     0.00000000     0.21415731     0.45438376     
2.17248426     1.41524619     -0.00324718    0.06751749     0.00000000     0.20926483     0.45624432     
2.19974775     1.41515977     -0.00310020    0.06596622     0.00000000     0.20448423     0.45806211     
2.22701124     1.41507726     -0.00295988    0.06445069     0.00000000     0.19981293     0.45983814     
2.25427473     1.41499849     -0.00282591    0.06297005     0.00000000     0.19524842     0.46157335     
2.28153822     1.41492328     -0.00269800    0.06152351     0.00000000     0.19078826     0.46326869     
2.30880171     1.41485148     -0.00257589    0.06011028     0.00000000     0.18643005     0.46492508     
2.33606519     1.41478293     -0.00245932    0.05872958     0.00000000     0.18217146     0.46654341     
2.36332868     1.41471748     -0.00234802    0.05738066     0.00000000     0.17801020     0.46812457     
2.39059217     1.41465500     -0.00224176    0.05606279     0.00000000     0.17394404     0.46966940     
2.41785566     1.41459534     -0.00214031    0.05477525     0.00000000     0.16997081     0.47117874     
2.44511915     1.41453839     -0.00204345    0.05351735     0.00000000     0.16608837     0.47265341     
2.47238264     1.41448401     -0.00195098    0.05228839     0.00000000     0.16229465     0.47409422     
2.49964613     1.41443209     -0.00186270    0.05108771     0.00000000     0.15858762     0.47550192     
2.52690962     1.41438253     -0.00177841    0.04991465     0.00000000     0.15496528     0.47687730     
2.55417311     1.41433521     -0.00169794    0.04876859     0.00000000     0.15142570     0.47822109     
2.58143660     1.41429003     -0.00162111    0.04764888     0.00000000     0.14796699     0.47953402     
2.60870009     1.41424689     -0.00154776    0.04655494     0.00000000     0.14458730     0.48081680     
2.63596358     1.41420571     -0.00147773    0.04548615     0.00000000     0.14128482     0.48207012     
2.66322707     1.41416639     -0.00141087    0.04444195     0.00000000     0.13805778     0.48329466     
2.69049056     1.41412885     -0.00134704    0.04342176     0.00000000     0.13490445     0.48449109     
2.71775405     1.41409301     -0.00128610    0.04242503     0.00000000     0.13182316     0.48566005     
2.74501754     1.41405879     -0.00122791    0.04145123     0.00000000     0.12881225     0.48680216     
2.77228103     1.41402613     -0.00117236    0.04049981     0.00000000     0.12587011     0.48791806     
2.79954452     1.41399494     -0.00111932    0.03957027     0.00000000     0.12299518     0.48900834     
2.82680800     1.41396516     -0.00106868    0.03866210     0.00000000     0.12018591     0.49007359     
2.85407149     1.41393673     -0.00102033    0.03777480     0.00000000     0.11744080     0.49111438     
2.88133498     1.41390958     -0.00097417    0.03690790     0.00000000     0.11475839     0.49213129     
2.90859847     1.41388367     -0.00093010    0.03606093     0.00000000     0.11213725     0.49312485     
