#   delta = 1.000, g = 0.500, ds = 0.005
#   s             E             dE       ||Gammaod||    ||eta2B||    

0.0000000     1.5000000     -1.7500000    1.4142136     5.3385391     
0.0050000     1.4916552     -1.5879634    1.3157789     5.3385391     
0.0100000     1.4862590     -1.1798378    1.1445113     4.7393750     
0.0150000     1.4852956     -0.7235583    0.9505165     3.7055183     
0.0200000     1.4882104     -0.4158191    0.8028558     2.6097640     
0.0250000     1.4929796     -0.3481070    0.7578465     2.1585675     
0.0300000     1.4973605     -0.4766021    0.8023269     2.6873192     
0.0350000     1.5000197     -0.6740622    0.8736629     3.4497819     
0.0400000     1.5008980     -0.8233522    0.9290463     3.9430726     
0.0450000     1.5007230     -0.8867036    0.9602659     4.0769514     
0.0500000     1.5001844     -0.9029450    0.9758811     3.9901017     
