# delta = 1.000, g = 0.500, generator = white          
# ====================================================================================
#    s              E            dE/ds        ||eta2B||      ||fod||       ||Gammaod||    
# ====================================================================================

0.00000000     1.50000000     -0.14583333    0.44876373     0.00000000     1.41421356     
0.00500000     1.49941815     -0.14484257    0.44724969     0.00000000     1.40818462     
0.01000000     1.49869640     -0.14361379    0.44536443     0.00000000     1.40218292     
0.01500000     1.49798078     -0.14239568    0.44348726     0.00000000     1.39620832     
0.02000000     1.49727122     -0.14118813    0.44161813     0.00000000     1.39026067     
0.02500000     1.49656767     -0.13999106    0.43975702     0.00000000     1.38433984     
0.03000000     1.49587010     -0.13880437    0.43790387     0.00000000     1.37844568     
0.03500000     1.49517843     -0.13762796    0.43605867     0.00000000     1.37257806     
0.04000000     1.49449263     -0.13646174    0.43422137     0.00000000     1.36673684     
0.04500000     1.49381264     -0.13530563    0.43239195     0.00000000     1.36092189     
0.05000000     1.49313840     -0.13415952    0.43057035     0.00000000     1.35513306     
0.05500000     1.49246988     -0.13302333    0.42875655     0.00000000     1.34937023     
0.06000000     1.49180702     -0.13189698    0.42695052     0.00000000     1.34363326     
0.06500000     1.49114977     -0.13078036    0.42515221     0.00000000     1.33792201     
0.07000000     1.49049809     -0.12967340    0.42336160     0.00000000     1.33223637     
0.07500000     1.48985192     -0.12857600    0.42157865     0.00000000     1.32657618     
0.08000000     1.48921122     -0.12748808    0.41980333     0.00000000     1.32094134     
0.08500000     1.48857594     -0.12640956    0.41803560     0.00000000     1.31533169     
0.09000000     1.48794604     -0.12534035    0.41627543     0.00000000     1.30974713     
0.09500000     1.48732146     -0.12428037    0.41452278     0.00000000     1.30418751     
0.10000000     1.48670216     -0.12322954    0.41277762     0.00000000     1.29865272     
0.10500000     1.48608810     -0.12218777    0.41103993     0.00000000     1.29314262     
0.11000000     1.48547923     -0.12115498    0.40930966     0.00000000     1.28765709     
0.11500000     1.48487551     -0.12013109    0.40758678     0.00000000     1.28219601     
0.12000000     1.48427689     -0.11911603    0.40587126     0.00000000     1.27675926     
0.12500000     1.48368332     -0.11810971    0.40416307     0.00000000     1.27134671     
0.13000000     1.48309477     -0.11711206    0.40246217     0.00000000     1.26595823     
0.13500000     1.48251119     -0.11612299    0.40076854     0.00000000     1.26059371     
0.14000000     1.48193254     -0.11514244    0.39908214     0.00000000     1.25525303     
